Months_loan_taken_for,Purpose,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant,Primary_applicant_age_in_years,Gender,Marital_status,Housing,Years_at_current_residence,Employment_status,Foreign_worker,Savings_account_balance,other_emi,employed_range,Principal_loan_amount_log
12,new vehicle,3,car or other,0,0,1,existing loans paid back duly till now,1,25,0,divorced/separated/married,0,1,skilled employee / official,1,Low,0,0 year - 1 year,14.074021253115776
48,business,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1,24,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,0 year - 1 year,15.275984317258416
12,electronic equipment,1,car or other,0,0,1,existing loans paid back duly till now,0,22,0,divorced/separated/married,1,1,skilled employee / official,1,Low,0,1 year - 4 years,14.26467352133816
24,new vehicle,4,car or other,0,0,2,critical/pending loans at other banks,1,60,1,single,1,4,unskilled - resident,1,Low,0,7 years and up,13.996998434009653
15,new vehicle,2,car or other,0,0,1,existing loans paid back duly till now,0,28,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,1 year - 4 years,14.1541233590846
24,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,1,32,0,divorced/separated/married,1,2,unskilled - resident,1,Low,0,1 year - 4 years,14.063931916462751
24,electronic equipment,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,53,1,single,1,4,skilled employee / official,1,None,0,7 years and up,14.700929626171344
30,business,2,car or other,0,0,3,paid,0,25,1,single,1,3,skilled employee / official,1,None,1,0 year - 1 year,15.903911841015582
24,used vehicle,4,No Property,0,0,1,existing loans paid back duly till now,1,44,0,divorced/separated/married,0,2,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,16.34753931482101
24,electronic equipment,3,car or other,0,0,1,existing loans paid back duly till now,0,31,1,single,1,2,skilled employee / official,1,High,0,7 years and up,15.048070819142122
9,new vehicle,4,car or other,0,0,3,critical/pending loans at other banks,0,48,1,single,1,4,skilled employee / official,1,Low,0,1 year - 4 years,14.573508710843836
6,electronic equipment,2,real estate,0,0,1,existing loans paid back duly till now,0,44,1,single,0,3,skilled employee / official,1,High,0,1 year - 4 years,14.788937481209238
10,new vehicle,1,real estate,0,0,2,critical/pending loans at other banks,0,48,1,single,0,3,unskilled - resident,0,Low,0,0 year - 1 year,14.622432752783064
12,used vehicle,3,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0,44,1,single,1,4,skilled employee / official,1,Low,0,0 year - 1 year,14.405516979604704
10,FF&E,2,car or other,0,0,2,critical/pending loans at other banks,0,26,1,married/widowed,1,1,skilled employee / official,0,None,0,1 year - 4 years,14.54257595672768
6,FF&E,1,real estate,0,0,1,existing loans paid back duly till now,0,36,1,single,1,2,unskilled - resident,1,Low,1,1 year - 4 years,14.133236751764432
6,electronic equipment,4,car or other,0,0,1,paid,0,39,1,married/widowed,1,4,unskilled - resident,1,Low,0,7 years and up,12.962194625251508
12,electronic equipment,3,real estate,0,0,2,paid,0,42,0,divorced/separated/married,0,3,skilled employee / official,1,High,0,1 year - 4 years,12.921470435024938
7,electronic equipment,3,real estate,0,1,1,existing loans paid back duly till now,0,34,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.69720984506881
60,business,3,No Property,0,0,2,delay in paying off loans in the past,1,63,1,single,1,4,skilled employee / official,1,Low,0,7 years and up,15.73771332321762
18,business,3,real estate,0,0,1,existing loans paid back duly till now,0,36,1,married/widowed,1,3,skilled employee / official,1,High,1,0 year - 1 year,14.46418324842239
24,FF&E,2,car or other,0,0,1,existing loans paid back duly till now,0,27,1,single,1,2,skilled employee / official,1,Low,1,1 year - 4 years,15.206792460595205
18,new vehicle,2,car or other,0,0,2,existing loans paid back duly till now,0,30,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,15.584683528519534
12,business,4,No Property,0,0,1,critical/pending loans at other banks,0,57,1,single,0,4,unskilled - resident,1,None,0,7 years and up,14.04979185368894
12,FF&E,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,33,0,divorced/separated/married,1,1,management / self-employed / highly qualified employee / officer,1,Low,1,0 year - 1 year,14.20349035173142
45,electronic equipment,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1,25,1,single,1,2,unskilled - resident,1,Low,0,0 year - 1 year,15.372812715977846
48,education,1,No Property,0,0,1,critical/pending loans at other banks,0,31,1,single,0,3,skilled employee / official,1,Low,1,1 year - 4 years,15.625437331147776
18,electronic equipment,4,real estate,1,0,1,existing loans paid back duly till now,1,37,1,single,1,2,skilled employee / official,1,Low,1,1 year - 4 years,14.557447902693651
10,FF&E,2,car or other,0,0,1,existing loans paid back duly till now,0,37,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.018451401960965
9,electronic equipment,4,real estate,0,0,1,existing loans paid back duly till now,0,24,1,single,1,3,skilled employee / official,1,Low,0,1 year - 4 years,13.03462446309632
30,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,30,1,single,1,2,management / self-employed / highly qualified employee / officer,1,High,1,7 years and up,14.662665551003569
12,electronic equipment,3,car or other,0,0,1,existing loans paid back duly till now,0,26,1,divorced/separated/married,1,1,skilled employee / official,1,High,0,1 year - 4 years,13.962204937115075
18,FF&E,2,real estate,0,0,1,delay in paying off loans in the past,0,44,1,single,1,4,unskilled - resident,1,Low,0,1 year - 4 years,15.640704803278568
30,used vehicle,1,car or other,0,0,2,critical/pending loans at other banks,0,24,1,married/widowed,0,4,skilled employee / official,1,Low,0,4 years - 7 years,15.637960874513126
48,used vehicle,4,No Property,0,0,2,critical/pending loans at other banks,1,58,0,divorced/separated/married,0,4,unskilled - resident,1,Low,1,7 years and up,15.630823780146065
11,new vehicle,4,car or other,0,0,2,critical/pending loans at other banks,0,35,0,divorced/separated/married,1,4,management / self-employed / highly qualified employee / officer,1,Low,0,0 year - 1 year,14.146970252761944
36,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,39,1,single,1,4,skilled employee / official,1,High,0,7 years and up,14.647984803745318
6,used vehicle,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,0,2,unemployed / unskilled - non-resident,1,High,0,None,14.117095535585046
11,new vehicle,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,39,1,single,1,4,unskilled - resident,1,Low,0,1 year - 4 years,15.793472930694255
12,electronic equipment,4,real estate,1,0,1,existing loans paid back duly till now,0,28,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.544507391417916
24,FF&E,4,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,0,29,1,single,1,2,unskilled - resident,1,None,1,0 year - 1 year,14.662665551003569
27,used vehicle,1,car or other,0,0,2,delay in paying off loans in the past,0,30,1,single,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,15.601419613514151
12,electronic equipment,3,car or other,0,0,1,existing loans paid back duly till now,0,25,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.048208322083296
18,used vehicle,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,31,1,single,1,1,skilled employee / official,1,None,0,1 year - 4 years,15.032794376349882
36,new vehicle,4,No Property,0,0,2,delay in paying off loans in the past,1,57,1,single,0,4,skilled employee / official,1,Low,1,7 years and up,14.615267473582476
6,new vehicle,1,real estate,0,1,1,paid,0,26,1,single,1,2,unskilled - resident,1,None,1,1 year - 4 years,13.57088797497294
12,electronic equipment,2,No Property,0,0,1,existing loans paid back duly till now,1,52,1,single,1,1,management / self-employed / highly qualified employee / officer,1,None,0,None,15.682377499679134
36,electronic equipment,2,car or other,0,0,2,critical/pending loans at other banks,0,31,0,divorced/separated/married,1,2,skilled employee / official,1,Low,1,1 year - 4 years,16.07372570322238
18,new vehicle,3,car or other,0,0,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,14.488965105178483
36,FF&E,4,No Property,1,0,2,critical/pending loans at other banks,1,23,0,divorced/separated/married,0,4,unskilled - resident,1,Low,0,0 year - 1 year,15.644726364236282
9,business,2,real estate,0,0,1,existing loans paid back duly till now,0,27,1,married/widowed,1,1,skilled employee / official,1,Low,1,1 year - 4 years,14.14553347090558
15,electronic equipment,4,real estate,0,1,2,critical/pending loans at other banks,0,50,1,single,1,4,skilled employee / official,1,None,0,7 years and up,14.245343022520732
36,business,4,No Property,0,0,1,paid,1,61,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,14.484877209858816
48,business,2,car or other,0,0,1,paid,1,25,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,16.48419603554421
24,electronic equipment,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,26,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,0 year - 1 year,14.97270617073128
27,FF&E,4,building society savings agreement/life insurance,0,0,4,existing loans paid back duly till now,0,48,1,single,1,4,skilled employee / official,1,None,0,7 years and up,15.462244255142071
12,electronic equipment,2,car or other,0,0,1,existing loans paid back duly till now,0,29,0,divorced/separated/married,1,2,skilled employee / official,1,Low,1,0 year - 1 year,14.59069844886043
12,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,0,22,1,married/widowed,1,1,skilled employee / official,1,High,0,1 year - 4 years,13.8224861717007
36,education,4,No Property,0,0,1,existing loans paid back duly till now,1,37,1,single,0,4,skilled employee / official,1,Low,1,1 year - 4 years,14.41379745750026
36,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,25,0,divorced/separated/married,1,4,skilled employee / official,1,None,0,1 year - 4 years,14.688476165100056
36,used vehicle,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,30,0,divorced/separated/married,1,2,skilled employee / official,1,Low,1,1 year - 4 years,15.911440417148912
7,electronic equipment,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,46,1,single,0,2,unskilled - resident,1,None,0,7 years and up,13.500799813124576
8,None,3,No Property,0,0,2,critical/pending loans at other banks,0,51,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,1,7 years and up,13.96737290727352
42,business,2,real estate,0,0,2,critical/pending loans at other banks,0,41,0,divorced/separated/married,1,1,unskilled - resident,1,Low,1,4 years - 7 years,15.59957382055786
36,education,4,No Property,0,0,1,existing loans paid back duly till now,1,40,1,single,1,4,management / self-employed / highly qualified employee / officer,1,None,0,7 years and up,14.497091102152751
12,used vehicle,4,No Property,0,0,2,critical/pending loans at other banks,0,66,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,14.23816049082654
42,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,1,34,1,single,1,3,skilled employee / official,1,Low,0,0 year - 1 year,15.193016413051083
11,electronic equipment,2,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,0,51,1,single,1,4,skilled employee / official,1,Low,0,4 years - 7 years,15.378066484498245
54,used vehicle,2,building society savings agreement/life insurance,0,0,1,paid,0,39,1,single,1,2,unskilled - resident,1,None,0,1 year - 4 years,16.060042719509703
30,FF&E,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,22,1,married/widowed,1,1,skilled employee / official,1,Low,0,0 year - 1 year,15.158897418072888
24,electronic equipment,1,car or other,0,0,2,existing loans paid back duly till now,1,44,0,divorced/separated/married,1,1,skilled employee / official,1,None,0,0 year - 1 year,15.597724614348795
15,electronic equipment,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,47,1,single,1,3,skilled employee / official,1,High,1,7 years and up,14.008607187926188
18,business,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,24,0,divorced/separated/married,0,4,unskilled - resident,1,Low,0,1 year - 4 years,14.26531147989249
24,None,4,real estate,0,1,1,existing loans paid back duly till now,0,58,0,divorced/separated/married,1,4,unskilled - resident,1,Low,0,7 years and up,14.377979414882104
10,electronic equipment,3,real estate,0,0,1,existing loans paid back duly till now,0,52,1,single,1,4,unskilled - resident,1,Low,0,7 years and up,14.654920245502472
12,business,4,real estate,0,1,2,critical/pending loans at other banks,0,29,0,divorced/separated/married,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,14.160517697035324
18,FF&E,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,27,0,divorced/separated/married,1,1,skilled employee / official,1,Low,0,0 year - 1 year,14.074021253115776
36,education,1,No Property,0,0,1,existing loans paid back duly till now,1,47,1,single,0,4,skilled employee / official,1,Low,0,1 year - 4 years,16.35015929964709
18,new vehicle,4,car or other,0,0,1,existing loans paid back duly till now,0,30,1,single,1,3,management / self-employed / highly qualified employee / officer,1,Low,0,4 years - 7 years,14.625996230941452
12,FF&E,4,real estate,0,0,2,paid,1,28,1,single,1,3,skilled employee / official,1,Low,0,4 years - 7 years,13.918067146289369
12,electronic equipment,4,real estate,0,0,1,critical/pending loans at other banks,0,56,1,single,1,4,skilled employee / official,1,Low,0,7 years and up,13.334243736439827
12,used vehicle,4,real estate,0,0,1,critical/pending loans at other banks,0,54,1,single,1,3,skilled employee / official,1,Low,0,7 years and up,14.158390790880818
12,electronic equipment,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,1,33,0,divorced/separated/married,1,3,unskilled - resident,1,None,1,7 years and up,13.588609957772352
24,FF&E,4,No Property,1,0,2,critical/pending loans at other banks,0,20,1,single,0,4,skilled employee / official,1,None,0,7 years and up,15.101155510934236
12,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,0,54,1,single,1,4,skilled employee / official,1,High,0,7 years and up,14.09162599404459
54,business,3,No Property,0,0,1,paid,1,58,1,single,0,4,skilled employee / official,1,Low,0,0 year - 1 year,16.584655858426295
12,education,4,car or other,0,0,1,critical/pending loans at other banks,0,61,0,divorced/separated/married,1,2,skilled employee / official,1,None,0,4 years - 7 years,14.514639810201768
18,business,4,car or other,0,0,1,existing loans paid back duly till now,0,34,1,single,1,4,skilled employee / official,1,Low,0,1 year - 4 years,14.779447943305785
36,electronic equipment,4,real estate,0,0,1,critical/pending loans at other banks,0,36,1,single,1,4,skilled employee / official,1,Low,0,7 years and up,14.664378613520997
20,used vehicle,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0,36,1,single,0,4,management / self-employed / highly qualified employee / officer,1,None,1,4 years - 7 years,15.769530589982969
24,new vehicle,4,real estate,0,0,1,existing loans paid back duly till now,0,41,1,married/widowed,0,4,unskilled - resident,1,Low,0,7 years and up,14.200092455156014
36,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,24,1,single,0,4,skilled employee / official,1,Low,0,4 years - 7 years,14.658370011752549
6,electronic equipment,3,real estate,0,0,1,delay in paying off loans in the past,0,24,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,13.745088093667729
9,FF&E,4,car or other,0,0,1,critical/pending loans at other banks,0,35,1,single,0,3,skilled employee / official,1,Low,0,4 years - 7 years,14.467314774989838
12,used vehicle,2,car or other,0,0,1,existing loans paid back duly till now,0,26,1,married/widowed,0,4,skilled employee / official,1,None,0,0 year - 1 year,14.709555680891109
24,None,2,car or other,1,0,2,critical/pending loans at other banks,1,39,1,single,1,3,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,16.295237147710733
18,new vehicle,2,No Property,0,0,2,paid,1,39,1,single,1,4,management / self-employed / highly qualified employee / officer,1,Low,1,7 years and up,15.680830230300357
12,new vehicle,2,car or other,0,0,1,existing loans paid back duly till now,0,32,1,single,1,2,skilled employee / official,1,Low,0,4 years - 7 years,15.620186252458875
24,FF&E,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,30,0,divorced/separated/married,1,2,skilled employee / official,0,None,0,0 year - 1 year,15.859454447290952
14,business,1,real estate,0,0,1,existing loans paid back duly till now,0,35,1,married/widowed,1,2,skilled employee / official,1,High,0,7 years and up,14.15910026235435
6,business,1,car or other,0,0,2,delay in paying off loans in the past,0,31,1,divorced/separated/married,1,2,skilled employee / official,1,Low,1,7 years and up,14.18638422130282
15,education,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,23,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,0 year - 1 year,12.8790171187726
18,new vehicle,3,real estate,0,0,1,existing loans paid back duly till now,0,28,1,single,0,3,unskilled - resident,1,Low,0,4 years - 7 years,15.64969074307628
36,new vehicle,4,real estate,0,0,2,critical/pending loans at other banks,1,25,0,divorced/separated/married,1,2,skilled employee / official,1,Low,1,1 year - 4 years,15.87666082967186
12,electronic equipment,3,real estate,0,0,1,existing loans paid back duly till now,0,35,1,married/widowed,1,1,skilled employee / official,1,High,0,7 years and up,14.334304351379442
48,electronic equipment,4,real estate,0,0,1,critical/pending loans at other banks,0,47,1,single,1,1,skilled employee / official,1,None,0,7 years and up,15.090314543050802
42,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,1,30,0,divorced/separated/married,1,3,management / self-employed / highly qualified employee / officer,1,None,0,4 years - 7 years,15.785973937074363
10,FF&E,2,real estate,1,0,2,critical/pending loans at other banks,0,27,0,divorced/separated/married,0,3,skilled employee / official,0,None,0,0 year - 1 year,14.572571064267873
33,FF&E,1,car or other,0,0,2,critical/pending loans at other banks,1,23,0,divorced/separated/married,1,4,skilled employee / official,1,High,0,1 year - 4 years,15.269697185127082
12,new vehicle,3,car or other,0,0,1,critical/pending loans at other banks,0,36,1,divorced/separated/married,1,3,management / self-employed / highly qualified employee / officer,1,High,0,4 years - 7 years,14.676711323520468
21,electronic equipment,3,real estate,0,0,2,existing loans paid back duly till now,1,25,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.422555039470808
24,used vehicle,4,car or other,0,0,2,critical/pending loans at other banks,0,41,0,divorced/separated/married,0,2,management / self-employed / highly qualified employee / officer,1,Low,0,7 years and up,15.168248135555322
12,FF&E,3,real estate,0,0,1,existing loans paid back duly till now,0,24,1,single,0,2,unskilled - resident,1,Low,0,1 year - 4 years,14.385359522179726
10,new vehicle,4,No Property,0,0,2,critical/pending loans at other banks,0,63,1,single,0,4,skilled employee / official,1,Low,0,7 years and up,13.568330428821824
18,FF&E,4,real estate,0,0,1,existing loans paid back duly till now,1,27,0,divorced/separated/married,0,3,skilled employee / official,1,None,0,0 year - 1 year,14.46991691020779
12,new vehicle,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,30,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.56739823354682
12,electronic equipment,4,real estate,0,0,1,existing loans paid back duly till now,0,40,1,married/widowed,1,2,unskilled - resident,1,Low,0,1 year - 4 years,13.460263166016729
12,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,1,30,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,13.367659733359671
12,used vehicle,4,car or other,0,0,2,critical/pending loans at other banks,0,34,1,single,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,None,14.436087045689384
12,new vehicle,3,real estate,1,0,2,critical/pending loans at other banks,1,29,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,1 year - 4 years,15.067987771349824
48,new vehicle,1,car or other,0,0,1,existing loans paid back duly till now,0,24,0,divorced/separated/married,1,2,skilled employee / official,1,None,0,4 years - 7 years,15.954046138951814
36,education,4,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,1,29,1,single,1,3,skilled employee / official,1,Low,1,1 year - 4 years,15.745146134526836
15,FF&E,2,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,0,27,1,single,1,3,unskilled - resident,1,Low,1,0 year - 1 year,14.811720913014303
18,FF&E,4,No Property,0,0,2,existing loans paid back duly till now,0,47,1,single,0,4,skilled employee / official,1,Low,1,1 year - 4 years,14.500625566826956
60,electronic equipment,2,real estate,0,0,1,existing loans paid back duly till now,0,21,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,4 years - 7 years,16.132392955659146
12,electronic equipment,4,real estate,0,0,2,critical/pending loans at other banks,0,38,0,divorced/separated/married,1,2,skilled employee / official,1,None,0,7 years and up,14.03062193758122
27,used vehicle,2,car or other,0,0,2,delay in paying off loans in the past,0,27,1,single,1,2,skilled employee / official,1,High,0,1 year - 4 years,15.968783247771311
12,electronic equipment,4,real estate,0,0,1,existing loans paid back duly till now,1,66,1,single,1,3,unskilled - resident,1,High,0,1 year - 4 years,13.548937448722729
15,electronic equipment,4,real estate,0,1,3,critical/pending loans at other banks,0,35,1,single,1,2,skilled employee / official,1,None,1,4 years - 7 years,14.819079297945487
12,electronic equipment,2,car or other,0,0,1,existing loans paid back duly till now,0,44,0,divorced/separated/married,0,2,unskilled - resident,1,Low,0,1 year - 4 years,14.447314108283168
6,new vehicle,2,real estate,0,0,1,existing loans paid back duly till now,0,27,1,married/widowed,1,2,unemployed / unskilled - non-resident,0,High,0,0 year - 1 year,13.471610805514263
36,electronic equipment,4,No Property,0,0,1,existing loans paid back duly till now,0,30,0,divorced/separated/married,1,1,management / self-employed / highly qualified employee / officer,1,Low,0,0 year - 1 year,15.383084266299676
27,electronic equipment,3,car or other,0,0,1,existing loans paid back duly till now,0,27,1,single,1,2,management / self-employed / highly qualified employee / officer,1,Low,0,1 year - 4 years,15.043980833890595
18,FF&E,2,car or other,0,0,1,existing loans paid back duly till now,1,22,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,14.716484585726535
21,FF&E,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0,23,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,0 year - 1 year,14.643188631481824
48,business,4,car or other,0,0,1,paid,0,30,1,single,1,2,skilled employee / official,1,Low,0,4 years - 7 years,15.086955077405223
6,new vehicle,1,No Property,0,0,2,critical/pending loans at other banks,0,39,0,divorced/separated/married,1,4,skilled employee / official,1,Low,0,7 years and up,13.664687668229693
12,new vehicle,4,car or other,0,0,2,critical/pending loans at other banks,0,51,0,divorced/separated/married,1,3,skilled employee / official,1,Low,0,4 years - 7 years,13.432784936825598
36,FF&E,3,building society savings agreement/life insurance,0,1,2,critical/pending loans at other banks,0,28,1,single,1,2,skilled employee / official,1,Low,0,1 year - 4 years,15.496524668887597
18,electronic equipment,4,car or other,0,0,2,critical/pending loans at other banks,0,46,1,single,1,4,skilled employee / official,1,High,0,7 years and up,14.274200427309736
6,electronic equipment,2,No Property,0,0,1,existing loans paid back duly till now,0,42,1,single,0,4,skilled employee / official,1,Low,1,7 years and up,14.112647789186813
10,electronic equipment,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,38,1,single,1,4,skilled employee / official,0,Low,0,1 year - 4 years,14.46991691020779
36,electronic equipment,4,car or other,0,0,1,existing loans paid back duly till now,0,24,1,single,1,1,skilled employee / official,1,Low,0,1 year - 4 years,15.581610280411752
24,used vehicle,2,No Property,0,0,1,critical/pending loans at other banks,0,29,0,divorced/separated/married,0,4,skilled employee / official,1,High,0,7 years and up,15.864235126982049
24,business,4,car or other,0,0,1,delay in paying off loans in the past,0,36,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,0,4 years - 7 years,15.756695274012255
12,FF&E,2,car or other,0,0,1,existing loans paid back duly till now,1,20,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,1 year - 4 years,14.063931916462751
9,FF&E,3,real estate,0,1,2,critical/pending loans at other banks,0,48,1,single,1,4,skilled employee / official,0,Low,0,7 years and up,14.068601185646436
12,education,4,car or other,0,0,1,paid,0,45,1,married/widowed,1,1,unskilled - resident,1,Low,1,7 years and up,12.733755386362589
24,new vehicle,2,car or other,0,0,2,existing loans paid back duly till now,0,38,1,single,1,3,skilled employee / official,1,Low,1,4 years - 7 years,15.071696233737145
6,electronic equipment,1,real estate,0,0,2,critical/pending loans at other banks,0,34,1,single,1,2,unskilled - resident,1,None,0,1 year - 4 years,14.45631125815201
24,electronic equipment,3,real estate,0,0,1,critical/pending loans at other banks,0,36,1,single,1,4,skilled employee / official,1,Low,0,7 years and up,14.870519209150252
18,new vehicle,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0,30,0,divorced/separated/married,1,1,skilled employee / official,1,Low,0,0 year - 1 year,13.869051324892304
15,FF&E,4,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,0,36,1,single,1,3,skilled employee / official,1,High,0,4 years - 7 years,14.048208322083296
10,new vehicle,2,No Property,0,0,1,existing loans paid back duly till now,0,70,1,single,0,4,management / self-employed / highly qualified employee / officer,1,Low,1,None,15.804480196480034
36,new vehicle,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,36,1,single,1,4,skilled employee / official,1,High,0,7 years and up,13.720100373159616
6,FF&E,1,car or other,0,0,1,existing loans paid back duly till now,0,32,1,single,1,2,skilled employee / official,1,High,0,1 year - 4 years,14.906762492226092
18,FF&E,4,car or other,0,0,1,existing loans paid back duly till now,1,33,0,divorced/separated/married,1,2,skilled employee / official,1,Low,0,None,13.938612755098257
11,FF&E,4,real estate,0,0,1,existing loans paid back duly till now,0,20,0,divorced/separated/married,1,1,skilled employee / official,1,High,0,0 year - 1 year,14.271034865945175
24,FF&E,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0,25,0,divorced/separated/married,0,4,skilled employee / official,1,Low,0,4 years - 7 years,15.1947803041472
24,business,4,real estate,0,0,2,critical/pending loans at other banks,1,31,1,divorced/separated/married,1,4,skilled employee / official,1,Low,0,7 years and up,14.475617884446018
15,new vehicle,4,car or other,0,0,2,paid,1,33,1,single,0,3,skilled employee / official,1,Low,0,7 years and up,13.764217263576723
